Observation,Energy
50001,72.89545407
50002,97.23439606
50003,148.4452287
50004,87.57249063
50005,61.88952827
50006,58.37214133
50007,140.7925151
50008,82.59134032
50009,74.2972946
50010,86.62892332
50011,119.9946948
50012,124.0729646
50013,95.12759279
50014,129.191873
50015,57.25065018
50016,97.00776864
50017,74.91589698
50018,90.34814282
50019,83.63179577
50020,124.3472396
50021,83.94446859
50022,112.3710516
50023,111.8380258
50024,81.98179446
50025,99.30731057
50026,102.1620539
50027,183.6587558
50028,123.68771
50029,45.86227791
50030,36.6042152
50031,65.14203618
50032,116.0950914
50033,86.53154657
50034,66.35014189
50035,120.279996
50036,77.12943072
50037,81.86549982
50038,104.7528324
50039,183.7347452
50040,97.28223212
50041,93.02985264
50042,35.99781006
50043,69.10070559
50044,54.46709064
50045,144.9099955
50046,120.7915235
50047,61.61704079
50048,97.54986558
50049,34.08443115
50050,90.24025303
50051,120.3805113
50052,40.66569229
50053,84.31758583
50054,125.9436015
50055,140.3210979
50056,67.60995421
50057,39.51711257
50058,124.7816712
50059,106.6243438
50060,134.258379
50061,109.7440508
50062,49.46214729
50063,71.48417208
50064,85.73571277
50065,108.8147854
50066,96.66590578
50067,49.25001169
50068,106.9263674
50069,150.0349382
50070,69.00808185
50071,124.6277914
50072,150.4898976
50073,186.0956986
50074,58.09882748
50075,22.18935118
50076,90.30970591
50077,109.7947432
50078,133.6290335
50079,115.9634057
50080,56.67629388
50081,98.35901923
50082,102.3955479
50083,65.56287477
50084,82.55460946
50085,75.18466489
50086,109.4837339
50087,144.1263788
50088,20.99377084
50089,120.3936027
50090,130.5650547
50091,88.31786934
50092,58.60899376
50093,143.3217159
50094,104.624863
50095,104.7687383
50096,80.03854045
50097,59.86472509
50098,90.14162114
50099,84.72471842
50100,90.9867977
50101,65.45402217
50102,43.81362347
50103,117.535706
50104,64.78217742
50105,76.93793395
50106,62.31364499
50107,52.59489518
50108,120.7516277
50109,44.5126425
50110,79.63686573
50111,91.86755129
50112,174.2036779
50113,57.63060477
50114,121.1490071
50115,68.22337421
50116,84.32426104
50117,89.85998252
50118,42.33181066
50119,156.6324602
50120,140.7367514
50121,97.38072181
50122,76.79016663
50123,123.8171485
50124,110.088545
50125,64.16128043
50126,90.75039205
50127,111.1569383
50128,54.67805189
50129,137.7594477
50130,73.26886436
50131,96.90932263
50132,96.33643928
50133,85.24013597
50134,81.65021066
50135,77.16862865
50136,111.0379831
50137,218.3202084
50138,67.06780818
50139,83.29248708
50140,74.35177528
50141,89.26822323
50142,162.8547116
50143,92.50367221
50144,79.55260727
50145,88.64041057
50146,45.4992192
50147,67.21681565
50148,97.55727493
50149,120.8135727
50150,111.6096915
50151,99.14181976
50152,49.61145735
50153,139.764989
50154,89.03407147
50155,101.465927
50156,40.21965931
50157,118.3026475
50158,73.4802551
50159,66.00091774
50160,64.84764709
50161,49.44941566
50162,54.09896141
50163,132.4092716
50164,140.2949046
50165,115.6425176
50166,101.5926407
50167,175.0583245
50168,141.836614
50169,76.08614535
50170,111.7617791
50171,95.15556087
50172,73.31451152
50173,48.85315819
50174,86.63321255
50175,78.29798736
50176,122.0541129
50177,69.12984044
50178,82.02250478
50179,52.36129834
50180,84.01376937
50181,75.06594751
50182,65.66084541
50183,94.8367702
50184,46.77211598
50185,91.40536675
50186,111.2915575
50187,110.4463256
50188,139.4246791
50189,105.4683253
50190,89.53732305
50191,82.54789577
50192,24.8960695
50193,82.90459185
50194,99.15465894
50195,47.12294212
50196,72.02041574
50197,60.8919751
50198,128.1840378
50199,39.06024006
50200,82.13597507
50201,57.7484884
50202,81.50919807
50203,124.5822361
50204,67.65669807
50205,89.23223167
50206,144.2163207
50207,85.95855364
50208,169.6273561
50209,192.3368153
50210,95.91904075
50211,50.5226844
50212,66.22604301
50213,163.7958134
50214,56.70237702
50215,93.87674347
50216,30.66143058
50217,118.074179
50218,80.28052123
50219,118.2572576
50220,109.9977046
50221,41.43424817
50222,50.08022416
50223,88.29971984
50224,108.2539224
50225,81.07572237
50226,120.9511597
50227,90.00807771
50228,108.3299153
50229,64.82367001
50230,166.2568354
50231,147.9315868
50232,164.8710684
50233,101.6651658
50234,89.50111332
50235,83.74157492
50236,128.8308703
50237,91.53854224
