Observation,Energy
50001,71.82194753
50002,98.86915928
50003,142.9690773
50004,92.48396783
50005,61.97958799
50006,59.05449521
50007,142.6649702
50008,92.05268325
50009,84.90240649
50010,86.57033884
50011,118.7239524
50012,119.8534065
50013,99.69711507
50014,131.3825408
50015,59.81421173
50016,94.24839016
50017,69.62661561
50018,85.80795617
50019,85.76988947
50020,131.3523321
50021,98.05048725
50022,106.7287608
50023,107.88344
50024,86.33757323
50025,108.5501795
50026,100.2229508
50027,175.7648046
50028,121.5960887
50029,50.59819735
50030,38.71856862
50031,70.53651716
50032,112.8138195
50033,92.40678818
50034,65.60296601
50035,117.4389659
50036,74.18674711
50037,76.32099265
50038,106.5488622
50039,182.9249646
50040,98.6861787
50041,94.84145294
50042,39.9263487
50043,78.5898418
50044,58.31470088
50045,137.5382444
50046,119.719105
50047,57.96813375
50048,94.7809308
50049,44.90191991
50050,87.43888155
50051,122.7501518
50052,44.47078407
50053,92.73103554
50054,117.4378554
50055,137.0638901
50056,69.41624259
50057,59.75090441
50058,114.4576116
50059,100.8437656
50060,131.6910785
50061,107.7977046
50062,50.33192337
50063,79.36281843
50064,88.26613212
50065,100.7419339
50066,99.20107431
50067,64.84499286
50068,98.0637794
50069,149.4048685
50070,71.35084755
50071,123.0524585
50072,140.5480808
50073,187.100512
50074,57.05231653
50075,26.65533529
50076,96.03136245
50077,99.21049028
50078,128.3145553
50079,115.3195099
50080,55.77540211
50081,97.90204912
50082,100.6322109
50083,60.90413171
50084,82.00742303
50085,81.33080026
50086,105.4158835
50087,135.1841898
50088,24.12529045
50089,116.7112063
50090,125.182894
50091,85.01327374
50092,66.47821804
50093,133.0453274
50094,98.2684332
50095,100.0882534
50096,80.99491187
50097,66.3826558
50098,98.33458007
50099,87.5865382
50100,97.0902509
50101,71.67045727
50102,48.07289743
50103,121.7942403
50104,58.9622455
50105,76.04068341
50106,76.22465343
50107,61.6979525
50108,121.6012688
50109,49.17999867
50110,87.15012146
50111,92.97492829
50112,166.2509756
50113,60.05739309
50114,118.7922749
50115,79.48650922
50116,77.19070394
50117,98.34899546
50118,66.29491209
50119,152.4539093
50120,136.9072414
50121,93.02424647
50122,75.01620868
50123,115.0515139
50124,110.861877
50125,69.25192067
50126,93.3034264
50127,108.0497085
50128,57.26500686
50129,132.5728302
50130,74.10513942
50131,114.1593682
50132,102.3124199
50133,83.39700923
50134,87.16647874
50135,74.28097452
50136,108.9233646
50137,200.4790786
50138,71.86461751
50139,86.55947276
50140,73.90641163
50141,82.63052083
50142,155.4404427
50143,91.98322333
50144,74.86118208
50145,90.9625513
50146,50.24384224
50147,72.14928547
50148,95.48886049
50149,115.5591424
50150,114.3343908
50151,97.44054655
50152,50.80711745
50153,148.4814149
50154,94.22183397
50155,102.9708342
50156,57.0830314
50157,125.1395536
50158,86.28975337
50159,72.36799688
50160,60.61310193
50161,67.46088299
50162,53.83797111
50163,129.0063297
50164,129.3757531
50165,111.0852524
50166,97.15803983
50167,176.3713511
50168,131.0902435
50169,77.83582828
50170,114.8915751
50171,95.49856779
50172,75.14180467
50173,51.50852605
50174,92.71299026
50175,81.13878105
50176,115.8752544
50177,72.03397722
50178,85.0306881
50179,54.66515231
50180,92.04344751
50181,78.49317355
