Observation,Energy
50001,44.02855682
50002,93.34210205
50003,89.80472565
50004,130.1749268
50005,68.96723938
50006,69.78166962
50007,121.3306656
50008,28.16701889
50009,190.7167206
50010,63.56364822
50011,56.91722107
50012,40.64809418
50013,40.26558304
50014,120.719429
50015,30.83467293
50016,95.75375366
50017,46.44402695
50018,380.6759338
50019,46.64684296
50020,105.4389725
50021,82.83506012
50022,181.6790924
50023,138.1847229
50024,124.7412949
50025,87.15685272
50026,68.26265717
50027,254.8702393
50028,280.664032
50029,41.03946686
50030,38.06427383
50031,56.50518036
50032,64.32176971
50033,38.11401367
50034,74.04405212
50035,210.5906067
50036,83.9380722
50037,53.4402504
50038,106.851181
50039,108.5788651
50040,36.0178833
50041,46.36021042
50042,42.05632019
50043,61.69572067
50044,115.8254929
50045,91.4596405
50046,80.47006989
50047,21.81350136
50048,56.32614136
50049,53.72835159
50050,130.7131042
50051,128.2625732
50052,57.72465897
50053,8.107647896
50054,230.4928589
50055,143.538208
50056,72.27094269
50057,71.80438232
50058,171.9150238
50059,43.76317215
50060,536.4003296
50061,44.32638931
50062,36.66645813
50063,53.915905
50064,104.0676117
50065,43.38008499
50066,51.0999527
50067,121.536499
50068,68.6319046
50069,171.6535034
50070,89.59467316
50071,117.7508011
50072,112.9482803
50073,275.6012268
50074,34.08664322
50075,23.58650589
50076,85.94206238
50077,57.59207153
50078,136.3973389
50079,191.875
50080,125.2566528
50081,76.39480591
50082,42.89606857
50083,39.09000015
50084,68.49938202
50085,52.76598358
50086,96.36486053
50087,239.1303253
50088,56.13773727
50089,43.20936584
50090,195.0605011
50091,75.01522064
50092,56.70170593
50093,145.5240173
50094,335.4815979
50095,31.70360184
50096,59.97452545
50097,68.79812622
50098,51.36531448
50099,93.89369202
50100,118.4896164
50101,33.9090538
50102,57.83565521
50103,64.0477066
50104,112.7542038
50105,89.94950867
50106,57.92812347
50107,73.34699249
50108,170.8312073
50109,71.66069031
50110,71.48838806
50111,65.94841003
50112,248.8533325
50113,49.15410995
50114,80.17945099
50115,44.9670372
50116,51.52300262
50117,63.98716354
50118,77.23989105
50119,274.1218872
50120,152.1287079
50121,196.5413361
50122,76.33557129
50123,61.5324707
50124,65.98197174
50125,75.45124054
50126,188.7277527
50127,81.90939331
50128,30.58579636
50129,95.91213989
50130,93.29031372
50131,253.3742371
50132,41.29241943
50133,50.47156525
50134,216.2191925
50135,36.37800217
50136,179.7298584
50137,390.7245789
50138,92.53916931
50139,55.94830704
50140,55.02400208
50141,604.5252075
50142,292.2714539
50143,101.7814484
50144,39.2191124
50145,118.5546341
50146,47.27499771
50147,71.6370163
50148,67.67983246
50149,96.83290863
50150,95.03658295
50151,122.5017776
50152,59.41585159
50153,151.3968811
50154,59.34721756
50155,-17.10552025
50156,65.45323181
50157,120.2226944
50158,134.2234344
50159,57.12814331
50160,98.23104095
50161,54.92626572
50162,46.49707413
50163,93.47107697
50164,95.70407867
50165,177.3060913
50166,74.85149384
50167,175.8985443
50168,123.0607071
50169,47.93623352
50170,65.64421082
50171,40.34743881
50172,72.67250061
50173,75.67721558
50174,33.34175491
50175,92.56009674
50176,124.973938
50177,100.1556244
50178,54.83181381
50179,30.95972824
50180,82.9657135
50181,210.6105499
50182,82.72652435
50183,68.63370514
50184,46.31785202
50185,86.11486053
50186,81.08517456
50187,144.0589905
50188,101.6480942
50189,66.81415558
50190,145.2093353
50191,100.4934769
50192,136.9567871
50193,45.49319839
50194,118.4002762
50195,53.6429863
50196,53.8126297
50197,47.14672089
50198,264.569397
50199,85.26412964
50200,254.4683228
50201,56.96466827
50202,77.80198669
50203,460.2025452
50204,98.16410828
50205,81.16537476
50206,110.5404968
50207,46.10576248
50208,116.9170532
50209,183.6314087
50210,107.5808334
50211,55.62264252
50212,48.26281357
50213,387.9664917
50214,60.70550919
50215,166.3347626
50216,74.08934784
50217,6.165421009
50218,85.30006409
50219,123.2263794
50220,95.41525269
50221,66.1049881
50222,55.69898605
50223,31.26026154
50224,160.9939423
50225,111.0656357
50226,143.1686401
50227,141.6111908
50228,92.7161026
50229,48.75534058
50230,130.2995911
50231,554.7119141
50232,542.362793
50233,75.84710693
50234,69.09703064
50235,177.4238129
50236,159.0077515
50237,65.820961
50238,71.20777893
50239,30.62521744
50240,65.59965515
50241,93.51280212
50242,72.53377533
50243,87.65276337
50244,56.47371292
50245,67.86631775
50246,136.3236237
50247,103.9518967
50248,95.11837769
50249,278.4012146
50250,106.5606308
50251,16.0823822
50252,87.16812897
50253,98.37968445
50254,63.99780655
50255,96.52629852
50256,53.31584167
50257,57.94527054
50258,230.2669983
50259,87.51734161
50260,131.2796326
50261,108.0660553
50262,35.24650574
50263,108.0565186
50264,162.4191284
50265,45.47369003
50266,36.61300278
50267,57.88047028
50268,110.2251511
50269,93.3602066
50270,183.093689
50271,119.8312073
50272,137.87117
50273,228.7121887
50274,56.09922028
50275,79.37102509
50276,66.80686188
50277,348.3560181
50278,45.05709839
50279,59.23292542
50280,37.42534256
50281,103.289711
50282,58.07186127
50283,176.6449585
50284,96.78938293
50285,12.8505249
50286,113.4966202
50287,63.55776978
50288,110.6157227
50289,75.52562714
50290,131.5526581
50291,44.76846695
50292,46.30162048
50293,64.2325058
50294,79.43045807
50295,184.8648834
50296,97.90087128
50297,244.6239319
50298,70.4339447
50299,101.0397644
50300,192.5521088
50301,66.92459106
50302,108.5376816
50303,43.56893158
50304,238.9295044
50305,47.61162186
50306,167.8816681
50307,57.42582703
50308,64.91464233
50309,59.70000076
50310,57.82741928
50311,193.1408539
50312,91.64498138
50313,95.2046051
50314,87.94411469
50315,33.96370697
50316,111.2215347
50317,79.12983704
50318,84.65146637
50319,29.94272041
50320,62.89970398
50321,70.62308502
50322,179.8083344
50323,57.3896904
50324,70.76231384
50325,125.6731262
50326,82.7665329
50327,102.9063339
50328,124.7869949
50329,50.33090973
50330,54.9432373
50331,100.6968384
50332,72.42488861
50333,96.24990082
50334,86.44300842
50335,241.3310699
50336,59.12316132
50337,119.5884476
50338,39.08477783
50339,55.70133972
50340,66.09809875
50341,25.50585365
50342,48.74185944
50343,52.83795929
50344,120.8723068
50345,28.43792534
50346,190.4786682
50347,76.15283203
50348,112.239975
50349,67.78564453
50350,70.03279114
50351,43.34841919
50352,100.0533905
50353,242.1763458
50354,68.11768341
50355,50.92856979
50356,92.70116425
50357,237.6713715
50358,52.13795471
50359,73.21527863
50360,110.8533173
50361,114.0243225
50362,84.43913269
50363,56.0241127
50364,119.9268112
50365,34.00057602
50366,42.79656982
50367,146.8506012
50368,380.8200684
50369,72.26647949
50370,68.88671112
50371,545.4506226
50372,50.56659698
50373,218.2572632
50374,115.7624359
50375,424.4483032
50376,111.5991211
50377,71.37718201
50378,132.7185822
50379,94.4667511
50380,321.5428772
50381,131.7247314
50382,67.78559875
50383,76.84915161
50384,52.28482819
50385,86.38718414
50386,64.71691895
50387,72.07118225
50388,61.24971771
50389,58.04481888
50390,69.00284576
50391,127.4482346
50392,45.97331238
50393,74.38920593
50394,55.91010666
50395,192.46521
50396,49.9778595
50397,46.66225433
50398,43.73008728
50399,56.46458435
50400,36.16901398
50401,74.94976044
50402,59.09737778
50403,110.7090607
